,timestamp,device,ppg,accx,accy,accz
0,2016-05-23 09:00:00,4,65507.0,134.0,-140.0,17.0
1,2016-05-23 09:00:00.012500,4,65504.0,152.0,-156.0,67.0
2,2016-05-23 09:00:00.025000,4,65516.0,169.0,-162.0,70.0
3,2016-05-23 09:00:00.037500,4,65488.0,205.0,-178.0,65.0
4,2016-05-23 09:00:00.050000,4,65514.0,241.0,-193.0,69.0
5,2016-05-23 09:00:00.062500,4,65450.0,267.0,-207.0,69.0
6,2016-05-23 09:00:00.075000,4,65495.0,280.0,-219.0,79.0
7,2016-05-23 09:00:00.087500,4,65502.0,278.0,-233.0,97.0
8,2016-05-23 09:00:00.100000,4,6.0,273.0,-244.0,103.0
9,2016-05-23 09:00:00.112500,4,65496.0,263.0,-249.0,110.0
10,2016-05-23 09:00:00.125000,4,65491.0,240.0,-257.0,119.0
11,2016-05-23 09:00:00.137500,4,65504.0,229.0,-276.0,137.0
12,2016-05-23 09:00:00.150000,4,65529.0,203.0,-290.0,146.0
13,2016-05-23 09:00:00.162500,4,65484.0,157.0,-298.0,160.0
14,2016-05-23 09:00:00.175000,4,65511.0,113.0,-294.0,168.0
15,2016-05-23 09:00:00.187500,4,65477.0,112.0,-294.0,157.0
16,2016-05-23 09:00:00.200000,4,65522.0,117.0,-280.0,123.0
17,2016-05-23 09:00:00.212500,4,3.0,133.0,-271.0,78.0
18,2016-05-23 09:00:00.225000,4,65516.0,143.0,-267.0,51.0
19,2016-05-23 09:00:00.237500,4,65496.0,131.0,-271.0,60.0
20,2016-05-23 09:00:00.250000,4,65504.0,111.0,-291.0,90.0
21,2016-05-23 09:00:00.262500,4,65499.0,78.0,-321.0,140.0
22,2016-05-23 09:00:00.275000,4,65520.0,62.0,-352.0,205.0
23,2016-05-23 09:00:00.287500,4,65466.0,66.0,-376.0,223.0
24,2016-05-23 09:00:00.300000,4,65454.0,80.0,-389.0,200.0
25,2016-05-23 09:00:00.312500,4,65468.0,100.0,-374.0,147.0
26,2016-05-23 09:00:00.325000,4,65502.0,105.0,-371.0,99.0
27,2016-05-23 09:00:00.337500,4,65492.0,88.0,-363.0,80.0
28,2016-05-23 09:00:00.350000,4,65484.0,90.0,-367.0,79.0
29,2016-05-23 09:00:00.362500,4,65472.0,108.0,-394.0,87.0
30,2016-05-23 09:00:00.375000,4,65504.0,111.0,-408.0,107.0
31,2016-05-23 09:00:00.387500,4,65494.0,125.0,-436.0,130.0
32,2016-05-23 09:00:00.400000,4,65474.0,135.0,-455.0,149.0
33,2016-05-23 09:00:00.412500,4,65494.0,129.0,-456.0,147.0
34,2016-05-23 09:00:00.425000,4,65497.0,108.0,-462.0,149.0
35,2016-05-23 09:00:00.437500,4,65481.0,73.0,-467.0,169.0
